ID number,Surname,Faculty,Origin,Course module viewed,Discussion viewed,Grade overview report viewed,Grade user report viewed,Quiz attempt started,Quiz attempt submitted,Quiz attempt summary viewed,Quiz attempt viewed,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Total Events,Label_Semester,Label_Final,Label_Total
BT107_547,BT107_Masked_547,Applied Medical Sciences,"web, ws",61,5,0,1,3,3,2,11,0,0,0,0,0,0,0,0,17,3,4,18,0,0,28,1,15,86,33,40,73
BT107_548,BT107_Masked_548,Agriculture,web,51,3,0,2,3,3,5,29,0,0,0,0,0,0,3,0,35,0,1,15,1,5,28,5,3,96,44,32,76
BT107_549,BT107_Masked_549,Agriculture,"web, ws",36,1,0,6,3,3,4,11,0,0,0,0,0,0,1,0,14,0,12,7,0,4,21,5,0,64,35,24,59
BT107_550,BT107_Masked_550,Pharmacy,web,17,0,0,2,3,3,1,11,0,0,0,0,0,0,0,0,10,0,0,7,2,0,16,2,0,37,38,28,66
BT107_551,BT107_Masked_551,Medicine,"web, ws",29,2,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,10,5,11,0,0,10,3,0,39,11,28,39
BT107_552,BT107_Masked_552,Applied Medical Sciences,web,23,2,0,0,3,3,2,33,0,0,0,0,0,0,1,0,33,0,2,13,0,0,13,1,3,66,39,34,73
BT107_553,BT107_Masked_553,Science and Arts,web,94,6,0,0,3,3,2,9,0,0,0,0,0,0,0,0,44,0,12,24,3,9,19,3,3,117,41,40,81
BT107_554,BT107_Masked_554,Pharmacy,web,20,0,0,1,3,3,3,54,0,0,0,0,0,0,0,0,54,0,9,7,1,0,13,0,0,84,39,18,57
BT107_555,BT107_Masked_555,Pharmacy,web,82,3,0,0,3,3,1,19,0,0,0,0,0,0,0,0,23,0,20,37,2,3,22,2,2,111,44,45,89
BT107_556,BT107_Masked_556,Applied Medical Sciences,web,24,4,0,0,3,3,3,29,0,0,0,0,0,0,0,0,29,0,0,6,0,0,23,0,8,66,18,38,56
BT107_557,BT107_Masked_557,Veterinary Medicine,web,20,0,0,0,3,2,2,11,0,0,0,0,0,0,0,0,10,0,0,6,0,0,21,1,0,38,23,39,62
BT107_558,BT107_Masked_558,Pharmacy,"web, ws",37,3,0,0,3,3,5,23,0,0,0,0,0,0,1,0,36,0,1,12,0,3,19,0,2,74,43,33,76
BT107_559,BT107_Masked_559,Science and Arts,"web, ws",128,2,1,4,3,3,5,21,0,0,0,0,0,0,0,0,61,2,49,17,6,6,20,5,1,167,45,24,69
BT107_560,BT107_Masked_560,Pharmacy,web,35,1,0,0,3,3,4,12,0,0,0,0,0,0,1,1,12,0,2,10,2,2,24,3,1,58,33,17,50
BT107_561,BT107_Masked_561,Science and Arts,web,53,8,0,15,3,3,2,13,0,0,0,0,0,0,1,4,19,0,2,19,6,1,26,9,10,97,50,45,95
BT107_562,BT107_Masked_562,Applied Medical Sciences,web,18,0,0,1,3,3,4,22,0,0,0,0,0,0,0,0,28,0,0,8,0,2,13,0,0,51,24,18,42
BT107_563,BT107_Masked_563,Veterinary Medicine,"web, ws",29,1,0,1,2,2,2,6,0,0,0,0,0,0,1,0,4,0,2,11,4,4,15,1,1,43,33,23,56
